Username,Repo_Name,Stars,Repo_URL
mrdoob,three.js,94853,https://github.com/mrdoob/three.js
pmndrs,react-three-fiber,24029,https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,22039,https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,21475,https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,18015,https://github.com/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,16128,https://github.com/lettier/3d-game-shaders-for-beginners
aframevr,aframe,15711,https://github.com/aframevr/aframe
FreeCAD,FreeCAD,15258,https://github.com/FreeCAD/FreeCAD
CesiumGS,cesium,11034,https://github.com/CesiumGS/cesium
MonoGame,MonoGame,10123,https://github.com/MonoGame/MonoGame
metafizzy,zdog,10021,https://github.com/metafizzy/zdog
blender,blender,9672,https://github.com/blender/blender
isl-org,Open3D,9526,https://github.com/isl-org/Open3D
timzhang642,3D-Machine-Learning,9159,https://github.com/timzhang642/3D-Machine-Learning
a1studmuffin,SpaceshipGenerator,7464,https://github.com/a1studmuffin/SpaceshipGenerator
domlysz,BlenderGIS,6713,https://github.com/domlysz/BlenderGIS
nerfstudio-project,nerfstudio,6683,https://github.com/nerfstudio-project/nerfstudio
FyroxEngine,Fyrox,6612,https://github.com/FyroxEngine/Fyrox
google,model-viewer,6025,https://github.com/google/model-viewer
openscad,openscad,5916,https://github.com/openscad/openscad
