Username,Repo_Name,Stars,Repo_URL
public-apis,public-apis,258891,https://github.com/public-apis/public-apis
neovim,neovim,69971,https://github.com/neovim/neovim
tiangolo,fastapi,63232,https://github.com/tiangolo/fastapi
strapi,strapi,56464,https://github.com/strapi/strapi
hoppscotch,hoppscotch,55258,https://github.com/hoppscotch/hoppscotch
ocornut,imgui,50834,https://github.com/ocornut/imgui
meilisearch,meilisearch,39065,https://github.com/meilisearch/meilisearch
slatedocs,slate,35489,https://github.com/slatedocs/slate
Kong,insomnia,31031,https://github.com/Kong/insomnia
hasura,graphql-engine,30155,https://github.com/hasura/graphql-engine
httpie,cli,29482,https://github.com/httpie/cli
ccxt,ccxt,29252,https://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,29201,https://github.com/Binaryify/NeteaseCloudMusicApi
trpc,trpc,29000,https://github.com/trpc/trpc
YMFE,yapi,26542,https://github.com/YMFE/yapi
encode,django-rest-framework,26438,https://github.com/encode/django-rest-framework
littlecodersh,ItChat,24275,https://github.com/littlecodersh/ItChat
directus,directus,23331,https://github.com/directus/directus
microsoft,api-guidelines,21892,https://github.com/microsoft/api-guidelines
shieldfy,API-Security-Checklist,21471,https://github.com/shieldfy/API-Security-Checklist
