Username,Repo_Name,Stars,Repo_URL
bitwarden,server,13317,https://github.com/bitwarden/server
dotnet,AspNetCore.Docs,11946,https://github.com/dotnet/AspNetCore.Docs
abpframework,abp,11463,https://github.com/abpframework/abp
aspnetboilerplate,aspnetboilerplate,11323,https://github.com/aspnetboilerplate/aspnetboilerplate
nopSolutions,nopCommerce,8477,https://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,6923,https://github.com/ElectronNET/Electron.NET
thangchung,clean-code-dotnet,6403,https://github.com/thangchung/clean-code-dotnet
RicoSuter,NSwag,6094,https://github.com/RicoSuter/NSwag
FastEndpoints,FastEndpoints,3202,https://github.com/FastEndpoints/FastEndpoints
dotnet,aspnet-api-versioning,2822,https://github.com/dotnet/aspnet-api-versioning
smartstore,SmartStoreNET,2602,https://github.com/smartstore/SmartStoreNET
JimBobSquarePants,ImageProcessor,2496,https://github.com/JimBobSquarePants/ImageProcessor
serenity-is,Serenity,2460,https://github.com/serenity-is/Serenity
mjebrahimi,Awesome-Microservices-DotNet,2429,https://github.com/mjebrahimi/Awesome-Microservices-DotNet
loic-sharma,BaGet,2402,https://github.com/loic-sharma/BaGet
TrilonIO,aspnetcore-angular-universal,1463,https://github.com/TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,1215,https://github.com/TrilonIO/aspnetcore-Vue-starter
MarimerLLC,csla,1134,https://github.com/MarimerLLC/csla
smartstore,Smartstore,882,https://github.com/smartstore/Smartstore
antonioCoco,SharPyShell,810,https://github.com/antonioCoco/SharPyShell
