Username,Repo_Name,Stars,Repo_URL
ljianshu,Blog,7715,https://github.com/ljianshu/Blog
metafizzy,infinite-scroll,7328,https://github.com/metafizzy/infinite-scroll
olifolkerd,tabulator,5712,https://github.com/olifolkerd/tabulator
developit,unfetch,5639,https://github.com/developit/unfetch
jquery-form,form,5203,https://github.com/jquery-form/form
Studio-42,elFinder,4490,https://github.com/Studio-42/elFinder
elbywan,wretch,4202,https://github.com/elbywan/wretch
dwyl,learn-to-send-email-via-google-script-html-no-server,3004,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
ded,reqwest,2933,https://github.com/ded/reqwest
wendux,ajax-hook,2426,https://github.com/wendux/ajax-hook
LeaVerou,bliss,2380,https://github.com/LeaVerou/bliss
noelboss,featherlight,2074,https://github.com/noelboss/featherlight
craftpip,jquery-confirm,1849,https://github.com/craftpip/jquery-confirm
taoensso,sente,1710,https://github.com/taoensso/sente
nette,tracy,1678,https://github.com/nette/tracy
loadingio,css-spinner,1653,https://github.com/loadingio/css-spinner
k8w,tsrpc,1617,https://github.com/k8w/tsrpc
joaomilho,Enterprise,1586,https://github.com/joaomilho/Enterprise
codingforentrepreneurs,eCommerce,1444,https://github.com/codingforentrepreneurs/eCommerce
u014427391,jeeplatform,1403,https://github.com/u014427391/jeeplatform
