Username,Repo_Name,Stars,Repo_URL
jwasham,coding-interview-university,268970,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,176311,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,170674,https://github.com/TheAlgorithms/Python
CyC2018,CS-Notes,167419,https://github.com/CyC2018/CS-Notes
yangshun,tech-interview-handbook,95945,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,60459,https://github.com/kdn251/interviews
TheAlgorithms,Java,54120,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,52554,https://github.com/azl397985856/leetcode
algorithm-visualizer,algorithm-visualizer,44643,https://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,42448,https://github.com/youngyangyang04/leetcode-master
krahets,hello-algo,37049,https://github.com/krahets/hello-algo
halfrost,LeetCode-Go,30649,https://github.com/halfrost/LeetCode-Go
huihut,interview,30570,https://github.com/huihut/interview
TheAlgorithms,JavaScript,28917,https://github.com/TheAlgorithms/JavaScript
donnemartin,interactive-coding-challenges,27888,https://github.com/donnemartin/interactive-coding-challenges
crossoverJie,JCSprout,26997,https://github.com/crossoverJie/JCSprout
TheAlgorithms,C-Plus-Plus,26200,https://github.com/TheAlgorithms/C-Plus-Plus
keon,algorithms,22998,https://github.com/keon/algorithms
mxgmn,WaveFunctionCollapse,21852,https://github.com/mxgmn/WaveFunctionCollapse
trekhleb,homemade-machine-learning,21832,https://github.com/trekhleb/homemade-machine-learning
