Username,Repo_Name,Stars,Repo_URL
bregman-arie,devops-exercises,58417,https://github.com/bregman-arie/devops-exercises
localstack,localstack,49392,https://github.com/localstack/localstack
serverless,serverless,45234,https://github.com/serverless/serverless
donnemartin,data-science-ipython-notebooks,25661,https://github.com/donnemartin/data-science-ipython-notebooks
sst,sst,17856,https://github.com/sst/sst
pulumi,pulumi,17751,https://github.com/pulumi/pulumi
kubernetes-sigs,kubespray,14519,https://github.com/kubernetes-sigs/kubespray
aws,aws-cli,14323,https://github.com/aws/aws-cli
ramitsurana,awesome-kubernetes,14307,https://github.com/ramitsurana/awesome-kubernetes
getsops,sops,13903,https://github.com/getsops/sops
donnemartin,awesome-aws,11756,https://github.com/donnemartin/awesome-aws
caprover,caprover,11121,https://github.com/caprover/caprover
GoogleCloudPlatform,terraformer,10866,https://github.com/GoogleCloudPlatform/terraformer
aws,aws-cdk,10611,https://github.com/aws/aws-cdk
apereo,cas,10339,https://github.com/apereo/cas
aws,chalice,10006,https://github.com/aws/chalice
infracost,infracost,9630,https://github.com/infracost/infracost
aws-amplify,amplify-js,9278,https://github.com/aws-amplify/amplify-js
google,go-cloud,9201,https://github.com/google/go-cloud
aws,serverless-application-model,9113,https://github.com/aws/serverless-application-model
