Username,Repo_Name,Stars,Repo_URL
flutter,flutter,157148,https://github.com/flutter/flutter
facebook,react-native,112295,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,105267,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,91965,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,69764,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,48734,https://github.com/google/material-design-icons
Solido,awesome-flutter,48705,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,47498,https://github.com/wasabeef/awesome-android-ui
square,okhttp,44546,https://github.com/square/okhttp
android,architecture-samples,43188,https://github.com/android/architecture-samples
square,retrofit,42038,https://github.com/square/retrofit
laurent22,joplin,38880,https://github.com/laurent22/joplin
dcloudio,uni-app,38650,https://github.com/dcloudio/uni-app
fastlane,fastlane,37605,https://github.com/fastlane/fastlane
PhilJay,MPAndroidChart,36838,https://github.com/PhilJay/MPAndroidChart
appwrite,appwrite,36530,https://github.com/appwrite/appwrite
skylot,jadx,36459,https://github.com/skylot/jadx
airbnb,lottie-android,34266,https://github.com/airbnb/lottie-android
shadowsocks,shadowsocks-android,34020,https://github.com/shadowsocks/shadowsocks-android
bumptech,glide,33940,https://github.com/bumptech/glide
