Username,Repo_Name,Stars,Repo_URL
justjavac,free-programming-books-zh_CN,105267,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,90578,https://github.com/angular/angular
storybookjs,storybook,80535,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,58975,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,49488,https://github.com/ionic-team/ionic-framework
prettier,prettier,46732,https://github.com/prettier/prettier
Asabeneh,30-Days-Of-JavaScript,38726,https://github.com/Asabeneh/30-Days-Of-JavaScript
SheetJS,sheetjs,33638,https://github.com/SheetJS/sheetjs
angular,angular-cli,26243,https://github.com/angular/angular-cli
angular,components,23673,https://github.com/angular/components
NativeScript,NativeScript,23029,https://github.com/NativeScript/NativeScript
goldbergyoni,javascript-testing-best-practices,22345,https://github.com/goldbergyoni/javascript-testing-best-practices
jhipster,generator-jhipster,20881,https://github.com/jhipster/generator-jhipster
pubkey,rxdb,19714,https://github.com/pubkey/rxdb
nrwl,nx,19604,https://github.com/nrwl/nx
wailsapp,wails,18199,https://github.com/wailsapp/wails
sudheerj,javascript-interview-questions,18112,https://github.com/sudheerj/javascript-interview-questions
teambit,bit,17040,https://github.com/teambit/bit
sweetalert2,sweetalert2,16282,https://github.com/sweetalert2/sweetalert2
jasontaylordev,CleanArchitecture,13615,https://github.com/jasontaylordev/CleanArchitecture
