Username,Repo_Name,Stars,Repo_URL
ansible,ansible,58788,https://github.com/ansible/ansible
bregman-arie,devops-exercises,58417,https://github.com/bregman-arie/devops-exercises
trailofbits,algo,27683,https://github.com/trailofbits/algo
MichaelCade,90DaysOfDevOps,23966,https://github.com/MichaelCade/90DaysOfDevOps
StreisandEffect,streisand,23044,https://github.com/StreisandEffect/streisand
kubernetes-sigs,kubespray,14519,https://github.com/kubernetes-sigs/kubespray
ansible,awx,12679,https://github.com/ansible/awx
easzlab,kubeasz,9550,https://github.com/easzlab/kubeasz
ansible-semaphore,semaphore,7848,https://github.com/ansible-semaphore/semaphore
geerlingguy,ansible-for-devops,7527,https://github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,7204,https://github.com/khuedoan/homelab
Tikam02,DevOps-Guide,7148,https://github.com/Tikam02/DevOps-Guide
geerlingguy,mac-dev-playbook,5519,https://github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,5103,https://github.com/rundeck/rundeck
KubeOperator,KubeOperator,4819,https://github.com/KubeOperator/KubeOperator
netbootxyz,netboot.xyz,4637,https://github.com/netbootxyz/netboot.xyz
clong,DetectionLab,4310,https://github.com/clong/DetectionLab
ansible,molecule,3686,https://github.com/ansible/molecule
opendevops-cn,opendevops,3505,https://github.com/opendevops-cn/opendevops
dev-sec,ansible-collection-hardening,3394,https://github.com/dev-sec/ansible-collection-hardening
