Username,Repo_Name,Stars,Repo_URL
arendst,Tasmota,20312,https://github.com/arendst/Tasmota
MarlinFirmware,Marlin,15299,https://github.com/MarlinFirmware/Marlin
arduino,Arduino,13755,https://github.com/arduino/Arduino
tinygo-org,tinygo,13533,https://github.com/tinygo-org/tinygo
rwaldron,johnny-five,13103,https://github.com/rwaldron/johnny-five
SpacehuhnTech,esp8266_deauther,12190,https://github.com/SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,11389,https://github.com/espressif/arduino-esp32
gurugio,lowlevelprogramming-university,8846,https://github.com/gurugio/lowlevelprogramming-university
hybridgroup,gobot,8462,https://github.com/hybridgroup/gobot
platformio,platformio-core,7065,https://github.com/platformio/platformio-core
bblanchon,ArduinoJson,6313,https://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,6009,https://github.com/tzapu/WiFiManager
olikraus,u8g2,4270,https://github.com/olikraus/u8g2
ClemensElflein,OpenMower,4110,https://github.com/ClemensElflein/OpenMower
Arduino-IRremote,Arduino-IRremote,4077,https://github.com/Arduino-IRremote/Arduino-IRremote
arduino,arduino-cli,4017,https://github.com/arduino/arduino-cli
hybridgroup,cylon,3986,https://github.com/hybridgroup/cylon
blynkkk,blynk-library,3722,https://github.com/blynkkk/blynk-library
Serial-Studio,Serial-Studio,3686,https://github.com/Serial-Studio/Serial-Studio
NerdLang,nerd,3501,https://github.com/NerdLang/nerd
