Username,Repo_Name,Stars,Repo_URL
atom,atom,59637,https://github.com/atom/atom
miniflux,v2,5488,https://github.com/miniflux/v2
themerdev,themer,5257,https://github.com/themerdev/themer
shd101wyy,markdown-preview-enhanced,3966,https://github.com/shd101wyy/markdown-preview-enhanced
nteract,hydrogen,3873,https://github.com/nteract/hydrogen
atom,teletype,2399,https://github.com/atom/teletype
mmcdole,gofeed,2271,https://github.com/mmcdole/gofeed
NaiboWang,CommandlineConfig,2033,https://github.com/NaiboWang/CommandlineConfig
feeddd,feeds,1962,https://github.com/feeddd/feeds
mehcode,awesome-atom,1894,https://github.com/mehcode/awesome-atom
kurtmckee,feedparser,1693,https://github.com/kurtmckee/feedparser
joefitzgerald,go-plus,1508,https://github.com/joefitzgerald/go-plus
ocaml,merlin,1504,https://github.com/ocaml/merlin
Glavin001,atom-beautify,1499,https://github.com/Glavin001/atom-beautify
simplepie,simplepie,1496,https://github.com/simplepie/simplepie
t9md,atom-vim-mode-plus,1406,https://github.com/t9md/atom-vim-mode-plus
MagicStack,MagicPython,1388,https://github.com/MagicStack/MagicPython
fwcd,kotlin-language-server,1311,https://github.com/fwcd/kotlin-language-server
file-icons,atom,1277,https://github.com/file-icons/atom
atom,apm,1262,https://github.com/atom/apm
