Username,Repo_Name,Stars,Repo_URL
sindresorhus,awesome,272037,https://github.com/sindresorhus/awesome
vinta,awesome-python,182971,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,151077,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,109591,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,108957,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,76865,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,76185,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,69764,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,63964,https://github.com/jaywcjlove/awesome-mac
enaqx,awesome-react,58514,https://github.com/enaqx/awesome-react
DopplerHQ,awesome-interview-questions,58105,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,57307,https://github.com/MunGell/awesome-for-beginners
sindresorhus,awesome-nodejs,53037,https://github.com/sindresorhus/awesome-nodejs
prakhar1989,awesome-courses,49521,https://github.com/prakhar1989/awesome-courses
fffaraz,awesome-cpp,49505,https://github.com/fffaraz/awesome-cpp
Solido,awesome-flutter,48705,https://github.com/Solido/awesome-flutter
binhnguyennus,awesome-scalability,48659,https://github.com/binhnguyennus/awesome-scalability
wasabeef,awesome-android-ui,47498,https://github.com/wasabeef/awesome-android-ui
vsouza,awesome-ios,44108,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,42694,https://github.com/tiimgreen/github-cheat-sheet
