Username,Repo_Name,Stars,Repo_URL
bregman-arie,devops-exercises,58417,https://github.com/bregman-arie/devops-exercises
pulumi,pulumi,17751,https://github.com/pulumi/pulumi
recommenders-team,recommenders,16424,https://github.com/recommenders-team/recommenders
ramitsurana,awesome-kubernetes,14307,https://github.com/ramitsurana/awesome-kubernetes
getsops,sops,13903,https://github.com/getsops/sops
Azure,azure-quickstart-templates,13215,https://github.com/Azure/azure-quickstart-templates
caprover,caprover,11121,https://github.com/caprover/caprover
infracost,infracost,9630,https://github.com/infracost/infracost
google,go-cloud,9201,https://github.com/google/go-cloud
microsoft,computervision-recipes,9126,https://github.com/microsoft/computervision-recipes
prowler-cloud,prowler,8668,https://github.com/prowler-cloud/prowler
microsoft,azuredatastudio,7242,https://github.com/microsoft/azuredatastudio
Netflix,metaflow,7017,https://github.com/Netflix/metaflow
midwayjs,midway,6887,https://github.com/midwayjs/midway
node-formidable,formidable,6789,https://github.com/node-formidable/formidable
thangchung,clean-code-dotnet,6403,https://github.com/thangchung/clean-code-dotnet
aquasecurity,tfsec,6281,https://github.com/aquasecurity/tfsec
budtmo,docker-android,6177,https://github.com/budtmo/docker-android
milanm,DevOps-Roadmap,6153,https://github.com/milanm/DevOps-Roadmap
bridgecrewio,checkov,5967,https://github.com/bridgecrewio/checkov
