Username,Repo_Name,Stars,Repo_URL
babel,babel,42533,https://github.com/babel/babel
swc-project,swc,28639,https://github.com/swc-project/swc
nylas,nylas-mail,24763,https://github.com/nylas/nylas-mail
electron-react-boilerplate,electron-react-boilerplate,21919,https://github.com/electron-react-boilerplate/electron-react-boilerplate
avajs,ava,20508,https://github.com/avajs/ava
SimulatedGREG,electron-vue,15410,https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,14996,https://github.com/grab/front-end-guide
jamiebuilds,babel-handbook,11786,https://github.com/jamiebuilds/babel-handbook
developit,htm,8344,https://github.com/developit/htm
grommet,grommet,8252,https://github.com/grommet/grommet
ben-rogerson,twin.macro,7562,https://github.com/ben-rogerson/twin.macro
angular-fullstack,generator-angular-fullstack,6129,https://github.com/angular-fullstack/generator-angular-fullstack
documentationjs,documentation,5732,https://github.com/documentationjs/documentation
fkling,astexplorer,5640,https://github.com/fkling/astexplorer
insin,nwb,5564,https://github.com/insin/nwb
thinkjs,thinkjs,5306,https://github.com/thinkjs/thinkjs
egoist,poi,5253,https://github.com/egoist/poi
duxianwei520,react,4871,https://github.com/duxianwei520/react
transitive-bullshit,create-react-library,4803,https://github.com/transitive-bullshit/create-react-library
thx,gogocode,4778,https://github.com/thx/gogocode
