Username,Repo_Name,Stars,Repo_URL
jlevy,the-art-of-command-line,139752,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,70621,https://github.com/nvm-sh/nvm
junegunn,fzf,54661,https://github.com/junegunn/fzf
google,zx,38670,https://github.com/google/zx
starship,starship,36737,https://github.com/starship/starship
dylanaraps,pure-bash-bible,34809,https://github.com/dylanaraps/pure-bash-bible
LeCoupa,awesome-cheatsheets,34732,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,33273,https://github.com/acmesh-official/acme.sh
koalaman,shellcheck,33239,https://github.com/koalaman/shellcheck
mathiasbynens,dotfiles,29338,https://github.com/mathiasbynens/dotfiles
alebcay,awesome-shell,28714,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,25187,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,23108,https://github.com/withfig/autocomplete
dylanaraps,neofetch,18904,https://github.com/dylanaraps/neofetch
asdf-vm,asdf,18688,https://github.com/asdf-vm/asdf
Nyr,openvpn-install,17628,https://github.com/Nyr/openvpn-install
kingToolbox,WindTerm,16963,https://github.com/kingToolbox/WindTerm
warpdotdev,Warp,15374,https://github.com/warpdotdev/Warp
rbenv,rbenv,15329,https://github.com/rbenv/rbenv
charmbracelet,gum,14803,https://github.com/charmbracelet/gum
