Username,Repo_Name,Stars,Repo_URL
bitcoin,bitcoin,71731,https://github.com/bitcoin/bitcoin
ccxt,ccxt,29252,https://github.com/ccxt/ccxt
freqtrade,freqtrade,23062,https://github.com/freqtrade/freqtrade
HelloZeroNet,ZeroNet,18014,https://github.com/HelloZeroNet/ZeroNet
solana-labs,solana,10634,https://github.com/solana-labs/solana
bbfamily,abu,10476,https://github.com/bbfamily/abu
askmike,gekko,9976,https://github.com/askmike/gekko
dvf,blockchain,7514,https://github.com/dvf/blockchain
lbryio,lbry-sdk,7199,https://github.com/lbryio/lbry-sdk
lightningnetwork,lnd,7099,https://github.com/lightningnetwork/lnd
spesmilo,electrum,6618,https://github.com/spesmilo/electrum
yeasy,blockchain_guide,6592,https://github.com/yeasy/blockchain_guide
butor,blackbird,5778,https://github.com/butor/blackbird
btcsuite,btcd,5485,https://github.com/btcsuite/btcd
btcpayserver,btcpayserver,5421,https://github.com/btcpayserver/btcpayserver
bitcoinjs,bitcoinjs-lib,5137,https://github.com/bitcoinjs/bitcoinjs-lib
getumbrel,umbrel,5016,https://github.com/getumbrel/umbrel
anders94,blockchain-demo,4914,https://github.com/anders94/blockchain-demo
jesse-ai,jesse,4871,https://github.com/jesse-ai/jesse
bitcoinj,bitcoinj,4688,https://github.com/bitcoinj/bitcoinj
