Username,Repo_Name,Stars,Repo_URL
ccxt,ccxt,29252,https://github.com/ccxt/ccxt
discordjs,discord.js,24012,https://github.com/discordjs/discord.js
python-telegram-bot,python-telegram-bot,23236,https://github.com/python-telegram-bot/python-telegram-bot
wechaty,wechaty,17326,https://github.com/wechaty/wechaty
RasaHQ,rasa,17055,https://github.com/RasaHQ/rasa
hubotio,hubot,16462,https://github.com/hubotio/hubot
InstaPy,InstaPy,15766,https://github.com/InstaPy/InstaPy
gunthercox,ChatterBot,13592,https://github.com/gunthercox/ChatterBot
leon-ai,leon,13586,https://github.com/leon-ai/leon
Rapptz,discord.py,13547,https://github.com/Rapptz/discord.py
tgbot-collection,YYeTsBot,13160,https://github.com/tgbot-collection/YYeTsBot
pedroslopez,whatsapp-web.js,12069,https://github.com/pedroslopez/whatsapp-web.js
howdyai,botkit,11212,https://github.com/howdyai/botkit
Mrs4s,go-cqhttp,9647,https://github.com/Mrs4s/go-cqhttp
sfyc23,EverydayWechat,9620,https://github.com/sfyc23/EverydayWechat
lss233,chatgpt-mirai-qq-bot,9523,https://github.com/lss233/chatgpt-mirai-qq-bot
microsoft,ailab,7500,https://github.com/microsoft/ailab
yagop,node-telegram-bot-api,7447,https://github.com/yagop/node-telegram-bot-api
microsoft,botframework-sdk,7207,https://github.com/microsoft/botframework-sdk
telegraf,telegraf,7075,https://github.com/telegraf/telegraf
