Username,Repo_Name,Stars,Repo_URL
Genymobile,scrcpy,91965,https://github.com/Genymobile/scrcpy
neovim,neovim,69971,https://github.com/neovim/neovim
obsproject,obs-studio,50611,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,49505,https://github.com/fffaraz/awesome-cpp
git,git,47540,https://github.com/git/git
FFmpeg,FFmpeg,38715,https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,37076,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,33079,https://github.com/vim/vim
curl,curl,31555,https://github.com/curl/curl
huihut,interview,30570,https://github.com/huihut/interview
ggreer,the_silver_searcher,25224,https://github.com/ggreer/the_silver_searcher
mpv-player,mpv,23694,https://github.com/mpv-player/mpv
ossrs,srs,22745,https://github.com/ossrs/srs
google,flatbuffers,21186,https://github.com/google/flatbuffers
ruby,ruby,20842,https://github.com/ruby/ruby
kovidgoyal,kitty,19999,https://github.com/kovidgoyal/kitty
microsoft,vcpkg,19811,https://github.com/microsoft/vcpkg
oracle,graal,19092,https://github.com/oracle/graal
radareorg,radare2,18667,https://github.com/radareorg/radare2
hashcat,hashcat,18370,https://github.com/hashcat/hashcat
