Username,Repo_Name,Stars,Repo_URL
CSSEGISandData,COVID-19,29217,https://github.com/CSSEGISandData/COVID-19
nytimes,covid-19-data,6977,https://github.com/nytimes/covid-19-data
covid19india,covid19india-react,6883,https://github.com/covid19india/covid19india-react
Tokyo-Metro-Gov,covid19,6302,https://github.com/Tokyo-Metro-Gov/covid19
owid,covid-19-data,5605,https://github.com/owid/covid-19-data
pcm-dpc,COVID-19,3894,https://github.com/pcm-dpc/COVID-19
ieee8023,covid-chestxray-dataset,2935,https://github.com/ieee8023/covid-chestxray-dataset
disease-sh,API,2440,https://github.com/disease-sh/API
geohot,corona,2439,https://github.com/geohot/corona
WorldHealthOrganization,app,2133,https://github.com/WorldHealthOrganization/app
corona-warn-app,cwa-server,1894,https://github.com/corona-warn-app/cwa-server
ahmadawais,corona-cli,1857,https://github.com/ahmadawais/corona-cli
github,covid19-dashboard,1647,https://github.com/github/covid19-dashboard
ExpDev07,coronavirus-tracker-api,1602,https://github.com/ExpDev07/coronavirus-tracker-api
soroushchehresa,awesome-coronavirus,1546,https://github.com/soroushchehresa/awesome-coronavirus
mhdhejazi,CoronaTracker,1537,https://github.com/mhdhejazi/CoronaTracker
chandrikadeb7,Face-Mask-Detection,1478,https://github.com/chandrikadeb7/Face-Mask-Detection
cirosantilli,china-dictatorship,1446,https://github.com/cirosantilli/china-dictatorship
neherlab,covid19_scenarios,1367,https://github.com/neherlab/covid19_scenarios
chrismattmann,tika-python,1346,https://github.com/chrismattmann/tika-python
