Username,Repo_Name,Stars,Repo_URL
iamadamdev,bypass-paywalls-chrome,41509,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,25187,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,21814,https://github.com/refined-github/refined-github
openai-translator,openai-translator,18496,https://github.com/openai-translator/openai-translator
darkreader,darkreader,17427,https://github.com/darkreader/darkreader
checkly,headless-recorder,14844,https://github.com/checkly/headless-recorder
dailydotdev,daily,14230,https://github.com/dailydotdev/daily
unbug,codelf,13773,https://github.com/unbug/codelf
wong2,chatgpt-google-extension,13278,https://github.com/wong2/chatgpt-google-extension
gildas-lormeau,SingleFile,12034,https://github.com/gildas-lormeau/SingleFile
immersive-translate,immersive-translate,11656,https://github.com/immersive-translate/immersive-translate
Anarios,return-youtube-dislike,11527,https://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,11129,https://github.com/crimx/ext-saladict
listen1,listen1_chrome_extension,10567,https://github.com/listen1/listen1_chrome_extension
josStorer,chatGPTBox,8818,https://github.com/josStorer/chatGPTBox
alyssaxuu,screenity,8669,https://github.com/alyssaxuu/screenity
chathub-dev,chathub,8229,https://github.com/chathub-dev/chathub
appbaseio,dejavu,8215,https://github.com/appbaseio/dejavu
AutomaApp,automa,8214,https://github.com/AutomaApp/automa
ajayyy,SponsorBlock,7649,https://github.com/ajayyy/SponsorBlock
