Username,Repo_Name,Stars,Repo_URL
electron,electron,109234,https://github.com/electron/electron
puppeteer,puppeteer,84665,https://github.com/puppeteer/puppeteer
microsoft,playwright,55395,https://github.com/microsoft/playwright
FiloSottile,mkcert,42883,https://github.com/FiloSottile/mkcert
iamadamdev,bypass-paywalls-chrome,41509,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,25187,https://github.com/jaywcjlove/linux-command
ovity,octotree,22532,https://github.com/ovity/octotree
segment-boneyard,nightmare,19452,https://github.com/segment-boneyard/nightmare
checkly,headless-recorder,14844,https://github.com/checkly/headless-recorder
google,WebFundamentals,13844,https://github.com/google/WebFundamentals
schickling,chromeless,13241,https://github.com/schickling/chromeless
GoogleChrome,chrome-extensions-samples,13147,https://github.com/GoogleChrome/chrome-extensions-samples
gildas-lormeau,SingleFile,12034,https://github.com/gildas-lormeau/SingleFile
casesandberg,react-color,11596,https://github.com/casesandberg/react-color
crimx,ext-saladict,11129,https://github.com/crimx/ext-saladict
MetaMask,metamask-extension,10677,https://github.com/MetaMask/metamask-extension
chromedp,chromedp,9599,https://github.com/chromedp/chromedp
moonD4rk,HackBrowserData,8744,https://github.com/moonD4rk/HackBrowserData
uBlock-LLC,uBlock,8131,https://github.com/uBlock-LLC/uBlock
ajayyy,SponsorBlock,7649,https://github.com/ajayyy/SponsorBlock
