Username,Repo_Name,Stars,Repo_URL
metabase,metabase,34453,https://github.com/metabase/metabase
logseq,logseq,25610,https://github.com/logseq/logseq
penpot,penpot,23231,https://github.com/penpot/penpot
deeplearning4j,deeplearning4j,13174,https://github.com/deeplearning4j/deeplearning4j
LightTable,LightTable,11731,https://github.com/LightTable/LightTable
kanaka,mal,9552,https://github.com/kanaka/mal
lk-geimfari,awesomo,9052,https://github.com/lk-geimfari/awesomo
tonsky,datascript,5213,https://github.com/tonsky/datascript
reagent-project,reagent,4672,https://github.com/reagent-project/reagent
riemann,riemann,4185,https://github.com/riemann/riemann
izhangzhihao,intellij-rainbow-brackets,4158,https://github.com/izhangzhihao/intellij-rainbow-brackets
weavejester,compojure,4036,https://github.com/weavejester/compojure
bbatsov,clojure-style-guide,3966,https://github.com/bbatsov/clojure-style-guide
status-im,status-mobile,3728,https://github.com/status-im/status-mobile
ring-clojure,ring,3647,https://github.com/ring-clojure/ring
babashka,babashka,3559,https://github.com/babashka/babashka
clojure-emacs,cider,3470,https://github.com/clojure-emacs/cider
defold,defold,3213,https://github.com/defold/defold
viebel,klipse,3071,https://github.com/viebel/klipse
tallesl,Rich-Hickey-fanclub,2977,https://github.com/tallesl/Rich-Hickey-fanclub
