Username,Repo_Name,Stars,Repo_URL
realm,SwiftLint,17803,https://github.com/realm/SwiftLint
facebook,infer,14367,https://github.com/facebook/infer
analysis-tools-dev,static-analysis,11715,https://github.com/analysis-tools-dev/static-analysis
Kristories,awesome-guidelines,9082,https://github.com/Kristories/awesome-guidelines
SonarSource,sonarqube,8094,https://github.com/SonarSource/sonarqube
checkstyle,checkstyle,7885,https://github.com/checkstyle/checkstyle
reviewdog,reviewdog,6713,https://github.com/reviewdog/reviewdog
facebook,pyre-check,6488,https://github.com/facebook/pyre-check
detekt,detekt,5706,https://github.com/detekt/detekt
import-js,eslint-plugin-import,5016,https://github.com/import-js/eslint-plugin-import
trekhleb,state-of-the-art-shitcode,4969,https://github.com/trekhleb/state-of-the-art-shitcode
pylint-dev,pylint,4856,https://github.com/pylint-dev/pylint
simplecov-ruby,simplecov,4639,https://github.com/simplecov-ruby/simplecov
pmd,pmd,4439,https://github.com/pmd/pmd
phpro,grumphp,4009,https://github.com/phpro/grumphp
kucherenko,jscpd,3197,https://github.com/kucherenko/jscpd
htmlhint,HTMLHint,2989,https://github.com/htmlhint/HTMLHint
codeclimate,codeclimate,2431,https://github.com/codeclimate/codeclimate
wemake-services,wemake-python-styleguide,2304,https://github.com/wemake-services/wemake-python-styleguide
uber,piranha,2138,https://github.com/uber/piranha
