Username,Repo_Name,Stars,Repo_URL
ovity,octotree,22532,https://github.com/ovity/octotree
gitpod-io,gitpod,11574,https://github.com/gitpod-io/gitpod
reviewdog,reviewdog,6713,https://github.com/reviewdog/reviewdog
danger,danger,5228,https://github.com/danger/danger
danger,danger-js,5031,https://github.com/danger/danger-js
joho,awesome-code-review,4044,https://github.com/joho/awesome-code-review
Codium-ai,pr-agent,2286,https://github.com/Codium-ai/pr-agent
ajinabraham,nodejsscan,2234,https://github.com/ajinabraham/nodejsscan
microsoft,vscode-pull-request-github,2103,https://github.com/microsoft/vscode-pull-request-github
houndci,hound,1939,https://github.com/houndci/hound
mbj,mutant,1902,https://github.com/mbj/mutant
crev-dev,cargo-crev,1888,https://github.com/crev-dev/cargo-crev
reviewboard,reviewboard,1506,https://github.com/reviewboard/reviewboard
Tencent,CodeAnalysis,1481,https://github.com/Tencent/CodeAnalysis
ryanmcdermott,code-review-tips,1402,https://github.com/ryanmcdermott/code-review-tips
bit4woo,python_sec,1240,https://github.com/bit4woo/python_sec
code-review-checklists,java-concurrency,1208,https://github.com/code-review-checklists/java-concurrency
coderabbitai,ai-pr-reviewer,936,https://github.com/coderabbitai/ai-pr-reviewer
TeamCodeStream,codestream,908,https://github.com/TeamCodeStream/codestream
jiangsir404,Audit-Learning,876,https://github.com/jiangsir404/Audit-Learning
