Username,Repo_Name,Stars,Repo_URL
ohmyzsh,ohmyzsh,162963,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,54661,https://github.com/junegunn/fzf
sherlock-project,sherlock,43772,https://github.com/sherlock-project/sherlock
sharkdp,bat,43265,https://github.com/sharkdp/bat
BurntSushi,ripgrep,40351,https://github.com/BurntSushi/ripgrep
jesseduffield,lazygit,39273,https://github.com/jesseduffield/lazygit
wagoodman,dive,38674,https://github.com/wagoodman/dive
google,zx,38670,https://github.com/google/zx
chubin,cheat.sh,36138,https://github.com/chubin/cheat.sh
n8n-io,n8n,34074,https://github.com/n8n-io/n8n
spf13,cobra,33605,https://github.com/spf13/cobra
cli,cli,33437,https://github.com/cli/cli
httpie,cli,29482,https://github.com/httpie/cli
sharkdp,fd,29047,https://github.com/sharkdp/fd
alebcay,awesome-shell,28714,https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,28120,https://github.com/ibraheemdev/modern-unix
acheong08,ChatGPT,27350,https://github.com/acheong08/ChatGPT
angular,angular-cli,26243,https://github.com/angular/angular-cli
tqdm,tqdm,25925,https://github.com/tqdm/tqdm
google,python-fire,25310,https://github.com/google/python-fire
