Username,Repo_Name,Stars,Repo_URL
vercel,next.js,112758,https://github.com/vercel/next.js
rust-lang,rust,85922,https://github.com/rust-lang/rust
sveltejs,svelte,72956,https://github.com/sveltejs/svelte
webpack,webpack,63577,https://github.com/webpack/webpack
gatsbyjs,gatsby,54750,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,45955,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,42724,https://github.com/parcel-bundler/parcel
babel,babel,42533,https://github.com/babel/babel
evanw,esbuild,36146,https://github.com/evanw/esbuild
vlang,v,34739,https://github.com/vlang/v
carbon-language,carbon-lang,31378,https://github.com/carbon-language/carbon-lang
markedjs,marked,30599,https://github.com/markedjs/marked
FuelLabs,sway,29637,https://github.com/FuelLabs/sway
swc-project,swc,28639,https://github.com/swc-project/swc
ziglang,zig,26289,https://github.com/ziglang/zig
vercel,pkg,23782,https://github.com/vercel/pkg
v8,v8,21770,https://github.com/v8/v8
typst,typst,21341,https://github.com/typst/typst
AssemblyScript,assemblyscript,15957,https://github.com/AssemblyScript/assemblyscript
RustPython,RustPython,15674,https://github.com/RustPython/RustPython
