Username,Repo_Name,Stars,Repo_URL
localstack,localstack,49392,https://github.com/localstack/localstack
harness,gitness,29504,https://github.com/harness/gitness
jenkinsci,jenkins,21512,https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,12756,https://github.com/auchenberg/volkswagen
theonedev,onedev,11932,https://github.com/theonedev/onedev
dagger,dagger,9076,https://github.com/dagger/dagger
openshift,origin,8378,https://github.com/openshift/origin
concourse,concourse,6987,https://github.com/concourse/concourse
gocd,gocd,6907,https://github.com/gocd/gocd
milanm,DevOps-Roadmap,6153,https://github.com/milanm/DevOps-Roadmap
gaia-pipeline,gaia,5110,https://github.com/gaia-pipeline/gaia
buildbot,buildbot,5080,https://github.com/buildbot/buildbot
Strider-CD,strider,4585,https://github.com/Strider-CD/strider
jenkins-x,jx,4423,https://github.com/jenkins-x/jx
ovh,cds,4306,https://github.com/ovh/cds
xcpretty,xcpretty,3860,https://github.com/xcpretty/xcpretty
JamesIves,github-pages-deploy-action,3852,https://github.com/JamesIves/github-pages-deploy-action
iterative,cml,3816,https://github.com/iterative/cml
werf,werf,3775,https://github.com/werf/werf
hygieia,hygieia,3765,https://github.com/hygieia/hygieia
